name	type	group	opc_item	writes	reads	description
MembSensorAT6	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t6DI32		MnemoControlT	Сигнал мембранного датчика транспортера
MembSensorAT7	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t7DI32		MnemoControlT	Сигнал мембранного датчика транспортера
MembSensorBT1	Boolean	СилКорпус / Входные переменные / Транспортеры				Сигнал мембранного датчика транспортера
MembSensorBT2	Boolean	СилКорпус / Входные переменные / Транспортеры				Сигнал мембранного датчика транспортера
MembSensorBT3	Boolean	СилКорпус / Входные переменные / Транспортеры				Сигнал мембранного датчика транспортера
MembSensorBT4	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t4DI22		MnemoControlT	Сигнал мембранного датчика транспортера
MembSensorBT5	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t5DI22		MnemoControlT	Сигнал мембранного датчика транспортера
MembSensorBT6	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t6DI1		MnemoControlT	Сигнал мембранного датчика транспортера
MembSensorBT7	Boolean	СилКорпус / Входные переменные / Транспортеры	|var|PLC210 (Arm32bit + Linux ).Application.PLC_PRG.t7DI1		MnemoControlT	Сигнал мембранного датчика транспортера
PingPLC16Flor	Boolean	СилКорпус / Служебные переменные		PingControl	MnemoControlC,MnemoControlN,MnemoControlT,StopButtonsControl	Переменная контроля состояни связи с контроллером
RPMTimerT1	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры контроля оборотов валов				
RPMTimerT10	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры контроля оборотов валов				
RPMTimerT11	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры контроля оборотов валов				
RPMTimerT12	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры контроля оборотов валов				
RPMTimerT13	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры контроля оборотов валов				
RPMTimerT14	Integer	СилКорпус / Таймеры / Транспортеры / Таймеры контроля оборотов валов				
