SysCurrentTime	Текущее время
RelayStopInN4	Входное реле стоповой кнопки пускателя
RelayStopInN5	Входное реле стоповой кнопки пускателя
RelayStopInN6	Входное реле стоповой кнопки пускателя
RelayStopInN7	Входное реле стоповой кнопки пускателя
RelayStopInN8	Входное реле стоповой кнопки пускателя
RelayStopInN9	Входное реле стоповой кнопки пускателя
RelayStopInN10	Входное реле стоповой кнопки пускателя
RelayInC1	Входное реле ответа пускателя аспирации
RelayInC2	Входное реле ответа пускателя аспирации
RelayInC3	Входное реле ответа пускателя аспирации
RelayInC4	Входное реле ответа пускателя аспирации
RelayInC5	Входное реле ответа пускателя аспирации
RelayInC6	Входное реле ответа пускателя аспирации
RelayInC7	Входное реле ответа пускателя аспирации
RelayInC8	Входное реле ответа пускателя аспирации
RelayInC9	Входное реле ответа пускателя аспирации
RelayInC10	Входное реле ответа пускателя аспирации
RelayInC11	Входное реле ответа пускателя аспирации
RelayInC12	Входное реле ответа пускателя аспирации
RelayInC13	Входное реле ответа пускателя аспирации
RelayInC14	Входное реле ответа пускателя аспирации
RelayStopInC1	Входное реле стоповой кнопки пускателя
RelayStopInC2	Входное реле стоповой кнопки пускателя
RelayStopInC3	Входное реле стоповой кнопки пускателя
RelayStopInC4	Входное реле стоповой кнопки пускателя
RelayStopInC5	Входное реле стоповой кнопки пускателя
RelayStopInC6	Входное реле стоповой кнопки пускателя
RelayStopInC7	Входное реле стоповой кнопки пускателя
RelayStopInC8	Входное реле стоповой кнопки пускателя
RelayStopInC9	Входное реле стоповой кнопки пускателя
RelayStopInC10	Входное реле стоповой кнопки пускателя
RelayStopInC11	Входное реле стоповой кнопки пускателя
RelayStopInC12	Входное реле стоповой кнопки пускателя
RelayStopInC13	Входное реле стоповой кнопки пускателя
RelayStopInC14	Входное реле стоповой кнопки пускателя
RelayInForwardT1	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT2	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT3	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT4	Входное реле ответа пускателя транспортера в прямом направлении
RelayInForwardT5	Входное реле ответа пускателя транспортера в прямом направлении
